row_index,length,pct_A,pct_T,pct_C,pct_G,first_50_pA,first_50_pT,first_50_pC,first_50_pG,last_50_pA,last_50_pT,last_50_pC,last_50_pG
0,295.0,0.23728813559322035,0.24067796610169492,0.27796610169491526,0.2440677966101695,0.16,0.18,0.32,0.34,0.32,0.2,0.32,0.16
1,295.0,0.2271186440677966,0.23389830508474577,0.2745762711864407,0.26440677966101694,0.26,0.1,0.3,0.34,0.1,0.34,0.36,0.2
2,295.0,0.24745762711864408,0.14576271186440679,0.31186440677966104,0.29491525423728815,0.1,0.26,0.36,0.28,0.4,0.06,0.16,0.38
3,86.0,0.18604651162790697,0.2558139534883721,0.26744186046511625,0.29069767441860467,0.2,0.26,0.3,0.24,0.16,0.3,0.22,0.32
4,295.0,0.23728813559322035,0.21694915254237288,0.24745762711864408,0.2983050847457627,0.4,0.1,0.26,0.24,0.18,0.22,0.22,0.38
5,117.0,0.27350427350427353,0.18803418803418803,0.19658119658119658,0.3418803418803419,0.24,0.22,0.34,0.2,0.34,0.16,0.06,0.44
6,57.0,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.3157894736842105,0.28,0.28,0.14,0.3,0.24,0.26,0.18,0.32
7,71.0,0.14084507042253522,0.23943661971830985,0.2676056338028169,0.352112676056338,0.14,0.22,0.26,0.38,0.14,0.2,0.34,0.32
8,129.0,0.24806201550387597,0.2868217054263566,0.2248062015503876,0.24031007751937986,0.28,0.26,0.3,0.16,0.26,0.32,0.18,0.24
9,442.0,0.31447963800904977,0.22850678733031674,0.2171945701357466,0.2398190045248869,0.24,0.22,0.26,0.28,0.44,0.24,0.18,0.14
10,107.0,0.35514018691588783,0.2336448598130841,0.21495327102803738,0.19626168224299065,0.38,0.22,0.2,0.2,0.34,0.22,0.24,0.2
11,295.0,0.2847457627118644,0.3050847457627119,0.13559322033898305,0.2745762711864407,0.44,0.22,0.12,0.22,0.32,0.26,0.2,0.22
12,662.0,0.24471299093655588,0.3217522658610272,0.2039274924471299,0.229607250755287,0.34,0.16,0.4,0.1,0.44,0.36,0.08,0.12
13,957.0,0.3113897596656217,0.24555903866248693,0.2089864158829676,0.23406478578892373,0.44,0.2,0.2,0.16,0.36,0.16,0.14,0.34
14,803.0,0.38107098381070986,0.2403486924034869,0.17310087173100872,0.2054794520547945,0.5,0.12,0.16,0.22,0.26,0.36,0.2,0.18
15,827.0,0.2249093107617896,0.25755743651753327,0.2720677146311971,0.24546553808948005,0.18,0.18,0.36,0.28,0.4,0.32,0.08,0.2
16,657.0,0.2998477929984779,0.2876712328767123,0.2146118721461187,0.197869101978691,0.24,0.32,0.22,0.22,0.32,0.32,0.18,0.18
17,295.0,0.2745762711864407,0.18983050847457628,0.26440677966101694,0.2711864406779661,0.24,0.3,0.22,0.24,0.18,0.2,0.3,0.32
18,398.0,0.28391959798994976,0.23115577889447236,0.314070351758794,0.1708542713567839,0.32,0.16,0.22,0.3,0.3,0.26,0.24,0.2
19,613.0,0.34910277324632955,0.23491027732463296,0.20554649265905384,0.21044045676998369,0.3,0.28,0.2,0.22,0.58,0.12,0.14,0.16
20,551.0,0.25045372050816694,0.23593466424682397,0.2159709618874773,0.29764065335753176,0.26,0.18,0.32,0.24,0.3,0.2,0.18,0.32
21,140.0,0.30714285714285716,0.39285714285714285,0.14285714285714285,0.15714285714285714,0.22,0.4,0.14,0.24,0.34,0.34,0.16,0.16
22,295.0,0.30847457627118646,0.22372881355932203,0.2542372881355932,0.2135593220338983,0.4,0.2,0.1,0.3,0.18,0.22,0.3,0.3
23,355.0,0.27323943661971833,0.16056338028169015,0.30140845070422534,0.2647887323943662,0.28,0.18,0.22,0.32,0.22,0.14,0.36,0.28
24,155.0,0.3935483870967742,0.24516129032258063,0.2967741935483871,0.06451612903225806,0.38,0.26,0.34,0.02,0.38,0.26,0.24,0.12
25,459.0,0.2875816993464052,0.19825708061002179,0.23311546840958605,0.28104575163398693,0.28,0.28,0.2,0.24,0.24,0.16,0.3,0.3
26,516.0,0.29069767441860467,0.2771317829457364,0.19186046511627908,0.24031007751937986,0.16,0.4,0.16,0.28,0.26,0.22,0.26,0.26
27,295.0,0.2745762711864407,0.26440677966101694,0.2135593220338983,0.24745762711864408,0.18,0.22,0.42,0.18,0.38,0.24,0.04,0.34
28,460.0,0.3652173913043478,0.2391304347826087,0.2108695652173913,0.18478260869565216,0.44,0.18,0.2,0.18,0.3,0.34,0.16,0.2
