row_index,sequence_length
0,295
1,295
2,295
3,86
4,295
5,117
6,57
7,71
8,129
9,442
10,107
11,295
12,662
13,957
14,803
15,827
16,657
17,295
18,398
19,613
20,551
21,140
22,295
23,355
24,155
25,459
26,516
27,295
28,460
29,104
30,216
31,126
32,87
33,106
34,295
35,85
36,295
37,264
38,113
39,855
40,295
41,917
42,153
43,494
44,133
45,72
46,295
47,967
48,520
49,295
50,105
51,563
52,298
53,295
54,236
55,295
56,389
57,246
58,72
59,876
60,58
61,361
62,74
63,411
64,607
65,104
66,291
67,481
68,362
69,99
70,289
71,110
72,269
73,437
74,98
75,295
76,101
77,425
78,689
79,876
80,90
81,81
82,145
83,313
84,72
85,287
86,331
87,103
88,252
89,162
90,104
91,350
92,295
93,561
94,673
95,171
96,107
97,924
98,119
99,972
100,909
101,101
102,295
103,295
104,295
105,64
106,295
107,374
108,295
109,664
110,438
111,145
112,637
113,303
114,145
115,410
116,107
117,57
118,737
119,418
120,104
121,294
122,943
123,295
124,627
125,295
126,295
127,103
128,275
129,98
130,285
131,141
132,295
133,567
134,123
135,278
136,97
137,114
138,296
139,441
140,693
141,74
142,295
143,132
144,191
145,923
146,501
147,295
148,603
149,295
150,145
151,863
152,75
153,549
154,295
155,83
156,71
157,295
158,295
159,958
160,588
161,116
162,295
163,295
164,196
165,103
166,75
167,76
168,676
169,78
170,587
171,133
172,295
173,295
174,114
175,941
176,547
177,565
178,536
179,806
180,72
181,104
182,127
183,497
184,746
185,72
186,295
187,91
188,470
189,963
190,333
191,480
192,659
193,139
194,615
195,935
196,125
197,426
198,706
199,61
200,295
201,96
202,642
203,981
204,397
205,559
206,432
207,648
208,258
209,696
210,531
211,110
212,110
213,81
214,295
215,858
216,129
217,451
218,280
219,875
220,103
221,539
222,295
223,330
224,527
225,722
226,295
227,707
228,66
229,107
230,355
231,557
232,69
233,283
234,787
235,561
236,520
237,966
238,615
239,643
240,346
241,295
242,295
243,295
244,127
245,708
246,295
247,84
248,59
249,339
250,343
251,295
252,250
253,270
254,295
255,339
256,119
257,295
258,526
259,621
260,927
261,104
262,295
263,82
264,72
265,957
266,959
267,594
268,178
269,285
270,887
271,443
272,930
273,410
274,76
275,637
276,102
277,78
278,622
279,71
280,613
281,463
282,912
283,522
284,73
285,705
286,109
287,83
288,137
289,295
290,295
291,322
292,295
293,109
294,121
295,115
296,406
297,258
298,295
299,462
300,99
301,751
302,81
303,50
304,99
305,106
306,295
307,644
308,120
309,295
310,295
311,106
312,380
313,295
314,857
315,295
316,557
317,133
318,851
319,733
320,62
321,68
322,929
323,518
324,295
325,116
326,90
327,266
328,496
329,941
330,109
331,295
332,82
333,295
334,295
335,106
336,511
337,93
338,502
339,326
340,127
341,106
342,70
343,295
344,295
345,472
346,295
347,108
348,96
349,410
350,78
351,52
352,72
353,714
354,295
355,476
356,295
357,78
358,295
359,380
360,259
361,295
362,490
363,355
364,295
365,137
366,295
367,551
368,345
369,460
370,295
371,79
372,176
373,524
374,295
375,295
376,153
377,368
378,64
379,295
380,295
381,99
382,295
383,654
384,484
385,295
386,85
387,883
388,295
389,604
390,542
391,84
392,62
393,675
394,782
395,55
396,717
397,97
398,740
399,619
400,295
401,97
402,97
403,295
404,236
405,277
406,923
407,110
408,295
409,97
410,909
411,442
412,968
413,295
414,657
415,72
416,295
417,295
418,103
419,582
420,433
421,600
422,295
423,496
424,810
425,295
426,103
427,156
428,80
429,38
430,54
431,863
432,295
433,271
434,535
435,436
436,637
437,830
438,295
439,107
440,236
441,295
442,295
443,72
444,295
445,66
446,295
447,107
448,107
449,295
450,127
451,103
452,506
453,261
454,164
455,295
456,213
457,595
458,154
459,295
460,295
461,592
462,153
463,110
464,119
465,295
466,295
467,295
468,80
469,760
470,295
471,82
472,987
473,72
474,122
475,295
476,295
477,284
478,295
479,295
480,104
481,151
482,97
483,730
484,501
485,108
486,104
487,107
488,295
489,80
490,59
491,82
492,605
493,295
494,103
495,239
496,119
497,773
498,59
499,295
500,687
501,745
502,422
503,82
504,295
505,295
506,280
507,136
508,963
509,499
510,295
511,881
512,415
513,306
514,145
515,133
516,289
517,996
518,71
519,104
520,647
521,295
522,330
523,102
524,101
525,295
526,295
527,145
528,295
529,125
530,80
531,500
532,138
533,295
534,608
535,67
536,691
537,686
538,578
539,72
540,106
541,79
542,897
543,295
544,107
545,675
546,107
547,667
548,295
549,293
550,79
551,295
552,295
553,295
554,299
555,295
556,527
557,99
558,83
559,602
560,295
561,990
562,299
563,107
564,295
565,155
566,602
567,249
568,998
569,74
570,743
571,107
572,523
573,497
574,107
575,141
576,75
577,336
578,73
579,978
580,853
581,300
582,502
583,161
584,295
585,522
586,320
587,395
588,756
589,93
590,295
591,110
592,108
593,479
594,153
595,315
596,125
597,763
598,145
599,295
600,125
601,611
602,107
603,120
604,295
605,295
606,171
607,119
608,295
609,86
610,295
611,299
612,295
613,313
614,100
615,145
616,295
617,540
618,85
619,295
620,73
621,145
622,86
623,295
624,961
625,266
626,143
627,809
628,489
629,295
630,295
631,72
632,295
633,518
634,135
635,322
636,60
637,641
638,437
639,104
640,64
641,583
642,514
643,817
644,288
645,350
646,300
647,539
648,97
649,70
650,295
651,773
652,590
653,75
654,107
655,741
656,65
657,153
658,90
659,448
660,101
661,71
662,533
663,118
664,280
665,55
666,295
667,295
668,64
669,347
670,81
671,97
672,584
673,74
674,347
675,295
676,295
677,519
678,281
679,295
680,74
681,108
682,295
683,97
684,930
685,472
686,153
687,365
688,295
689,117
690,776
691,104
692,771
693,295
694,77
695,723
696,295
697,295
698,107
699,700
700,295
701,295
702,101
703,88
704,295
705,295
706,457
707,295
708,94
709,725
710,38
711,55
712,835
713,295
714,295
715,96
716,502
717,617
718,104
719,153
720,295
721,68
722,295
723,652
