row_index,GeneType,class_index
0,BIOLOGICAL_REGION,0
1,BIOLOGICAL_REGION,0
2,BIOLOGICAL_REGION,0
3,ncRNA,4
4,BIOLOGICAL_REGION,0
5,PSEUDO,3
6,PSEUDO,3
7,tRNA,9
8,PSEUDO,3
9,PSEUDO,3
10,PSEUDO,3
11,BIOLOGICAL_REGION,0
12,PROTEIN_CODING,2
13,PSEUDO,3
14,PSEUDO,3
15,ncRNA,4
16,BIOLOGICAL_REGION,0
17,BIOLOGICAL_REGION,0
18,BIOLOGICAL_REGION,0
19,PSEUDO,3
20,OTHER,1
21,PSEUDO,3
22,BIOLOGICAL_REGION,0
23,BIOLOGICAL_REGION,0
24,PSEUDO,3
25,PSEUDO,3
26,OTHER,1
27,BIOLOGICAL_REGION,0
28,PSEUDO,3
29,PSEUDO,3
30,snoRNA,8
31,snoRNA,8
32,PSEUDO,3
33,snoRNA,8
34,BIOLOGICAL_REGION,0
35,ncRNA,4
36,BIOLOGICAL_REGION,0
37,BIOLOGICAL_REGION,0
38,PSEUDO,3
39,PSEUDO,3
40,BIOLOGICAL_REGION,0
41,PSEUDO,3
42,PSEUDO,3
43,PROTEIN_CODING,2
44,PSEUDO,3
45,tRNA,9
46,BIOLOGICAL_REGION,0
47,PSEUDO,3
48,ncRNA,4
49,BIOLOGICAL_REGION,0
50,snoRNA,8
51,ncRNA,4
52,PSEUDO,3
53,BIOLOGICAL_REGION,0
54,PSEUDO,3
55,BIOLOGICAL_REGION,0
56,PSEUDO,3
57,PSEUDO,3
58,ncRNA,4
59,PSEUDO,3
60,ncRNA,4
61,PSEUDO,3
62,tRNA,9
63,PSEUDO,3
64,PSEUDO,3
65,PSEUDO,3
66,PSEUDO,3
67,PSEUDO,3
68,PSEUDO,3
69,ncRNA,4
70,PSEUDO,3
71,PSEUDO,3
72,BIOLOGICAL_REGION,0
73,PSEUDO,3
74,snoRNA,8
75,BIOLOGICAL_REGION,0
76,snoRNA,8
77,PSEUDO,3
78,PSEUDO,3
79,ncRNA,4
80,snoRNA,8
81,ncRNA,4
82,BIOLOGICAL_REGION,0
83,BIOLOGICAL_REGION,0
84,tRNA,9
85,PSEUDO,3
86,PSEUDO,3
87,snoRNA,8
88,BIOLOGICAL_REGION,0
89,PSEUDO,3
90,PSEUDO,3
91,PSEUDO,3
92,BIOLOGICAL_REGION,0
93,PSEUDO,3
94,OTHER,1
95,PSEUDO,3
96,PSEUDO,3
97,PROTEIN_CODING,2
98,PSEUDO,3
99,PROTEIN_CODING,2
100,BIOLOGICAL_REGION,0
101,snoRNA,8
102,BIOLOGICAL_REGION,0
103,BIOLOGICAL_REGION,0
104,BIOLOGICAL_REGION,0
105,PSEUDO,3
106,BIOLOGICAL_REGION,0
107,PSEUDO,3
108,BIOLOGICAL_REGION,0
109,PSEUDO,3
110,PSEUDO,3
111,BIOLOGICAL_REGION,0
112,PROTEIN_CODING,2
113,PSEUDO,3
114,BIOLOGICAL_REGION,0
115,BIOLOGICAL_REGION,0
116,PSEUDO,3
117,OTHER,1
118,PSEUDO,3
119,PSEUDO,3
120,PSEUDO,3
121,PSEUDO,3
122,ncRNA,4
123,BIOLOGICAL_REGION,0
124,PSEUDO,3
125,BIOLOGICAL_REGION,0
126,BIOLOGICAL_REGION,0
127,PSEUDO,3
128,BIOLOGICAL_REGION,0
129,ncRNA,4
130,PSEUDO,3
131,snoRNA,8
132,BIOLOGICAL_REGION,0
133,PSEUDO,3
134,snoRNA,8
135,PSEUDO,3
136,ncRNA,4
137,PSEUDO,3
138,PSEUDO,3
139,PSEUDO,3
140,PROTEIN_CODING,2
141,tRNA,9
142,BIOLOGICAL_REGION,0
143,snoRNA,8
144,snRNA,7
145,PSEUDO,3
146,BIOLOGICAL_REGION,0
147,BIOLOGICAL_REGION,0
148,PSEUDO,3
149,BIOLOGICAL_REGION,0
150,BIOLOGICAL_REGION,0
151,PSEUDO,3
152,snoRNA,8
153,PSEUDO,3
154,BIOLOGICAL_REGION,0
155,tRNA,9
156,ncRNA,4
157,BIOLOGICAL_REGION,0
158,BIOLOGICAL_REGION,0
159,PSEUDO,3
160,BIOLOGICAL_REGION,0
161,BIOLOGICAL_REGION,0
162,BIOLOGICAL_REGION,0
163,BIOLOGICAL_REGION,0
164,PSEUDO,3
165,PSEUDO,3
166,ncRNA,4
167,PSEUDO,3
168,PSEUDO,3
169,ncRNA,4
170,PROTEIN_CODING,2
171,snoRNA,8
172,BIOLOGICAL_REGION,0
173,BIOLOGICAL_REGION,0
174,PSEUDO,3
175,BIOLOGICAL_REGION,0
176,PSEUDO,3
177,PSEUDO,3
178,OTHER,1
179,PSEUDO,3
180,PSEUDO,3
181,snoRNA,8
182,PSEUDO,3
183,PROTEIN_CODING,2
184,PSEUDO,3
185,tRNA,9
186,BIOLOGICAL_REGION,0
187,ncRNA,4
188,PSEUDO,3
189,PSEUDO,3
190,PSEUDO,3
191,PSEUDO,3
192,PSEUDO,3
193,snoRNA,8
194,PSEUDO,3
195,PROTEIN_CODING,2
196,snoRNA,8
197,PSEUDO,3
198,PSEUDO,3
199,ncRNA,4
200,BIOLOGICAL_REGION,0
201,PSEUDO,3
202,PSEUDO,3
203,PROTEIN_CODING,2
204,PSEUDO,3
205,PSEUDO,3
206,OTHER,1
207,PSEUDO,3
208,PSEUDO,3
209,PSEUDO,3
210,ncRNA,4
211,ncRNA,4
212,ncRNA,4
213,ncRNA,4
214,BIOLOGICAL_REGION,0
215,PSEUDO,3
216,snoRNA,8
217,OTHER,1
218,BIOLOGICAL_REGION,0
219,PSEUDO,3
220,PSEUDO,3
221,ncRNA,4
222,BIOLOGICAL_REGION,0
223,ncRNA,4
224,PSEUDO,3
225,ncRNA,4
226,BIOLOGICAL_REGION,0
227,PSEUDO,3
228,ncRNA,4
229,PSEUDO,3
230,BIOLOGICAL_REGION,0
231,ncRNA,4
232,tRNA,9
233,PSEUDO,3
234,BIOLOGICAL_REGION,0
235,PSEUDO,3
236,PSEUDO,3
237,PSEUDO,3
238,PSEUDO,3
239,PSEUDO,3
240,PROTEIN_CODING,2
241,BIOLOGICAL_REGION,0
242,BIOLOGICAL_REGION,0
243,BIOLOGICAL_REGION,0
244,PSEUDO,3
245,PSEUDO,3
246,BIOLOGICAL_REGION,0
247,snoRNA,8
248,OTHER,1
249,PSEUDO,3
250,PSEUDO,3
251,BIOLOGICAL_REGION,0
252,PSEUDO,3
253,PSEUDO,3
254,BIOLOGICAL_REGION,0
255,PSEUDO,3
256,PSEUDO,3
257,BIOLOGICAL_REGION,0
258,PSEUDO,3
259,PSEUDO,3
260,PSEUDO,3
261,PSEUDO,3
262,BIOLOGICAL_REGION,0
263,ncRNA,4
264,PSEUDO,3
265,PROTEIN_CODING,2
266,PSEUDO,3
267,PROTEIN_CODING,2
268,PSEUDO,3
269,PSEUDO,3
270,BIOLOGICAL_REGION,0
271,PSEUDO,3
272,PROTEIN_CODING,2
273,PSEUDO,3
274,ncRNA,4
275,PSEUDO,3
276,snoRNA,8
277,ncRNA,4
278,ncRNA,4
279,ncRNA,4
280,PSEUDO,3
281,PSEUDO,3
282,PSEUDO,3
283,PSEUDO,3
284,PSEUDO,3
285,PSEUDO,3
286,PSEUDO,3
287,ncRNA,4
288,snoRNA,8
289,BIOLOGICAL_REGION,0
290,BIOLOGICAL_REGION,0
291,BIOLOGICAL_REGION,0
292,BIOLOGICAL_REGION,0
293,ncRNA,4
294,snRNA,7
295,PSEUDO,3
296,PSEUDO,3
297,PSEUDO,3
298,BIOLOGICAL_REGION,0
299,PSEUDO,3
300,PSEUDO,3
301,PSEUDO,3
302,ncRNA,4
303,PSEUDO,3
304,ncRNA,4
305,PSEUDO,3
